Id,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
15097,hughesdale,3166,20160407,WkDay,ThDay,WrkngDy,sold,5,1,2,52,50,46,N,N,N,N,70,43.5,601,1910,2,0,145200,NA,1993,NA,8.3,18.4,6.8,18.7,0.5,0.2,0.2,0.17,1300000,1740000,605,18.1,NrlyLvl,1368000,1080000,1200000,1200000
15098,hughesdale,3166,20151114,WkEnd,SDay,WrkngDy,sold,3,1,2,60,30,44,Y,N,Y,N,70,43.5,641,1910,2,0,775000,NA,2009,NA,12.1,18.3,0.2,19.4,0.3,0.06,2.3,0.75,1300000,1740000,633,18.2,NrlyLvl,1360000,1080000,1100000,1260000
15099,hughesdale,3166,20151017,WkEnd,SDay,WrkngDy,sold,3,1,3,60,30,44,Y,N,Y,N,70,43.5,613,1918,1,0,NA,NA,NA,NA,11.5,20.5,0,20.1,1,0.1,1.8,NA,1300000,1740000,624,15.5,NrlyLvl,1360000,1440000,1350000,1251000
15100,hughesdale,3166,20150905,WkEnd,SDay,WrkngDy,sold,3,1,2,52,42,45,N,N,Y,N,70,43.5,572,1920,3,1,150000,520,1995,2011,10.2,14,0,19,1.5,0.8,0.3,0.47,1240000,1660000,571,NA,NrlyLvl,1345729,1590000,1100000,1210000
15101,hughesdale,3166,20150829,WkEnd,SDay,WrkngDy,sold,3,1,2,63,39,51,Y,N,N,N,70,43.5,697,1980,2,1,850000,400,2010,2016,6.3,11.7,1.8,19.5,0.4,0.071,1.3,0.63,1300000,1740000,711,15.5,NrlyLvl,1456667,1420000,1810000,1231000
15105,huntingdale,3166,20150725,WkEnd,SDay,WrkngDy,sold,4,2,4,57,39,48,Y,N,Y,Y,59.5,16.5,519,1920,3,0,124500,NA,1994,NA,9.4,13.3,0.8,20.7,1.7,1.1,1.8,0.75,1300000,1740000,531,16,NrlyLvl,1356167,1080000,1100000,1250000
15107,oakleigh,3166,20170614,WkDay,WDay,WrkngDy,sold,3,1,4,63,30,36,Y,N,Y,Y,98,59,543,1910,3,0,435000,NA,2003,NA,4,17.4,0,20.3,2.3,0.2,0.3,0.5,1080000,1430000,543,15.2,NrlyLvl,1159333,960000,1100000,1250000
15108,oakleigh,3166,20170603,WkEnd,SDay,WrkngDy,sold,3,1,1,79,15,41,N,N,Y,N,98,59,542,1978,3,0,325000,NA,1999,NA,9.9,14.3,0,20.1,0.2,0.4,1.2,5.17,1080000,1430000,545,15.7,NrlyLvl,1159333,1420000,1220000,1245000
15109,oakleigh,3166,20170527,WkEnd,SDay,WrkngDy,sold,2,1,2,63,30,36,Y,N,N,N,98,59,557,1940,4,0,702500,NA,2010,NA,11.9,17.8,0,20.1,0.2,0.2,0.3,0.77,1120000,1510000,567,15.5,NrlyLvl,1088733,890000,1010000,1225000
15110,oakleigh,3166,20170218,WkEnd,SDay,WrkngDy,sold,4,2,2,82,14,33,Y,N,Y,Y,98,59,526,1986,1,1,NA,590,NA,2017,13.3,18.9,0,20.7,0.3,0.3,1.4,0.73,1120000,1510000,531,NA,GntlyInclnd,1091667,1280000,955000,1200000
15112,oakleigh,3166,20160227,WkEnd,SDay,WrkngDy,sold,4,2,2,60,30,40,Y,N,Y,N,98,59,697,1976,1,0,NA,NA,NA,NA,17.7,22.2,0,19.7,3,0.2,1.9,0.8,1240000,1660000,704,15.5,GntlyInclnd,1406667,1080000,1200000,1243000
15113,oakleigh,3166,20151214,WkDay,MDay,WrkngDy,sold,4,2,2,63,40,47,Y,N,Y,Y,98,59,696,1930,2,0,129500,NA,1989,NA,11.9,22.7,0,19.8,0.2,0.2,0.6,1.49,1300000,1740000,686,21.3,NrlyLvl,1415000,2830000,1420000,1285500
15114,oakleigh,3166,20151118,WkDay,WDay,WrkngDy,sold,3,1,2,48,29,49,Y,N,Y,Y,98,59,795,1910,5,0,240000,NA,1999,NA,14.7,29.5,0,19.5,0.7,0.3,0.7,1.75,1240000,1660000,779,14.2,GntlyInclnd,1292963,1080000,1100000,1200000
15115,oakleigh,3166,20150919,WkEnd,SDay,WrkngDy,sold,4,1,2,66,16,41,Y,N,Y,Y,98,59,697,1920,4,0,770000,NA,2007,NA,6.5,21.3,0,19.8,2,0.3,1.2,0.75,1300000,1740000,703,14.8,NrlyLvl,1415000,960000,970000,1278000
15116,oakleigh,3166,20150829,WkEnd,SDay,WrkngDy,sold,4,2,2,65,21,47,N,N,Y,N,98,59,566,1950,3,3,780000,280,2014,2006,6.3,11.7,1.8,20.1,1.2,0.3,1.1,5.27,1370000,1830000,565,15.8,NrlyLvl,1341667,1080000,1100000,1280000
15117,oakleigh,3166,20150711,WkEnd,SDay,WrkngDy,sold,4,2,0,64,30,48,N,N,Y,Y,98,59,569,1950,3,0,114000,NA,1991,NA,10.9,13.1,0.2,20.7,1.6,0.5,1.2,0.76,878000,1320000,588,14,NrlyLvl,1311667,1120000,878000,1220000
15118,oakleigh,3166,20141121,WkDay,FDay,WrkngDy,sold,4,2,2,54,34,42,Y,N,Y,N,98,59,488,1975,2,0,275000,NA,1999,NA,16.2,22.2,0.8,19.4,0.7,1,0.8,1.76,1430000,1920000,800,NA,GntlyInclnd,1415000,2830000,1630000,1275000
15138,oakleigh,3166,20170513,WkEnd,SDay,WrkngDy,sold,3,2,1,79,15,41,N,N,N,N,98,59,566,1975,1,0,NA,NA,NA,NA,8.4,15.6,0.2,20,0.2,0.4,1.2,5.19,850000,1300000,570,15.9,NrlyLvl,1293333,1220000,1100000,1205000
15139,oakleigh,3166,20150801,WkEnd,SDay,WrkngDy,sold,4,2,1,65,58,61,N,N,N,N,98,59,476,1920,4,0,870000,NA,2011,NA,6.5,11.4,0.2,19.9,0.2,0.2,0.5,1.5,1300000,1740000,475,17.1,NrlyLvl,1376167,1630000,1000000,1220000
15148,hughesdale,3166,20150829,WkEnd,SDay,WrkngDy,sold,3,1,1,62,25,47,N,N,N,N,70,43.5,758,1926,2,0,272000,NA,2000,NA,6.3,11.7,1.8,20.2,0.7,0.5,1.8,0.55,1300000,1740000,758,16.2,NrlyLvl,1351167,1240000,1420000,1211000
15151,oakleigh,3166,20161126,WkEnd,SDay,WrkngDy,sold,3,1,2,79,15,41,N,N,Y,Y,98,59,533,1941,1,0,NA,NA,NA,NA,12.2,17.4,0,20.1,0.3,0.4,1.1,5.16,1240000,1660000,528,14.8,NrlyLvl,1203333,1420000,1810000,1225000
15153,oakleigh,3166,20150411,WkEnd,SDay,WrkngDy,sold,4,2,2,59,32,39,Y,N,Y,N,98,59,624,1935,5,0,500000,NA,2005,NA,11.6,23.7,0,18.2,2.2,0.5,1.6,0.57,1300000,1740000,592,13.2,GntlyInclnd,1320000,1100000,1140000,1275000
15154,oakleigh,3166,20150327,WkDay,FDay,WrkngDy,sold,4,2,2,68,26,44,Y,N,Y,N,98,59,471,1920,5,0,925000,NA,2010,NA,11.6,18.1,0.2,19.8,0.7,0.3,0.7,0.97,1430000,1920000,469,11.8,NrlyLvl,1349500,1420000,1550000,1220000
15155,oakleigh,3166,20141208,WkDay,MDay,WrkngDy,sold,3,2,2,68,26,44,N,N,Y,Y,98,59,471,1910,6,0,975000,NA,2010,NA,14.1,20.1,2.2,19.7,0.8,0.2,0.7,0.96,1370000,1830000,470,11.8,NrlyLvl,1361167,1120000,1220000,1250000
15165,hughesdale,3166,20170225,WkEnd,SDay,WrkngDy,sold,3,2,2,68,21,43,Y,N,Y,Y,70,43.5,583,1920,5,3,653000,300,2011,2010,13.7,19.4,0,21,1.3,0.1,1.6,0.44,1240000,1660000,584,NA,GntlyInclnd,1568333,1080000,1100000,1345000
15166,hughesdale,3166,20161203,WkEnd,SDay,WrkngDy,sold,3,1,1,60,30,44,N,N,N,N,70,43.5,697,1920,1,5,NA,350,NA,2015,9.9,23.9,0,20.1,0.4,0.8,1.5,NA,1300000,1740000,705,15.3,NrlyLvl,1416667,1440000,1350000,1340000
15167,hughesdale,3166,20161015,WkEnd,SDay,WrkngDy,sold,4,1,2,60,30,44,N,N,N,N,70,43.5,696,1975,1,0,NA,NA,NA,NA,9.4,24.8,0,19.8,0.1,0.1,1.8,NA,1300000,1740000,685,15.1,NrlyLvl,1503000,1580000,1270000,1337000
