796,Morton Road,NA,TWO,burwood,3125,20150520,WkDay,WDay,WrkngDy,sold,Hse,3,1,4,72,14,37,Y,N,Y,N,108.5,116.5,730,1953,1,0,0,0,0,0,13.6,18.1,2.4,17.8,0.8,1.4,2,1.64,1120000,1510000,19.6,ModInclnd,1376667,1450000,1500000,"930000
"
805,Worrall Street,TWO,SIX,burwood,3125,20170916,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,69,26,42,N,N,Y,N,108.5,116.5,1084,2015,2,1,770000,580,2014,2018,7.4,13.3,21.4,19.3,0.3,0.3,0.3,2.17,0,0,15.5,NrlyLvl,896333,900890,795000,"901000
"
806,Worrall Street,NA,ONE,burwood,3125,20170916,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,52,39,58,Y,N,Y,N,108.5,116.5,350,2001,1,0,0,0,0,0,7.4,13.3,21.4,19.1,0.1,0.1,0.1,1.99,800000,1060000,0,NA,886667,891000,1410000,"930000
"
808,Worrall Street,NA,ONE,burwood,3125,20170422,WkEnd,SDay,WrkngDy,sold,HseTwnHse,3,2,2,52,39,58,Y,N,Y,N,108.5,116.5,350,2001,1,0,0,0,0,0,16.9,22.5,4.6,19.1,0.1,0.1,0.1,1.99,800000,1060000,0,NA,886667,891000,1410000,"902000
"
810,Sixth Avenue,NA,NINE,burwood,3125,20170304,WkEnd,SDay,WrkngDy,sold,Hse,3,2,1,72,14,37,Y,N,Y,N,108.5,116.5,489,1970,6,2,665000,450,2010,2009,16.1,27.4,0,17.7,1.2,1.4,1.3,1.72,1030000,1360000,19.4,NrlyLvl,1126333,1450000,1500000,"935000
"
812,Waratah Avenue,NA,NA,burwood,3125,20161106,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,64,15,53,N,N,N,N,108.5,116.5,0,0,2,0,345550,0,2014,0,11.5,21.4,0,16.4,1,0.3,0.9,2.55,0,0,0,NA,987333,0,0,"945000
"
813,Highbury Road,TWO,TWO,burwood,3125,20161007,WkDay,FDay,WrkngDy,sold,Hse,3,2,2,55,39,43,Y,N,Y,N,108.5,116.5,866,0,0,0,0,0,0,0,14.1,22.5,0,17,1.5,6.4,1.7,1.07,0,0,18.9,NrlyLvl,0,0,0,"905000
"
815,Cypress Avenue,NA,NINE,burwood,3125,20150928,WkDay,MDay,WrkngDy,sold,Hse,4,2,2,64,30,50,N,N,Y,N,108.5,116.5,600,1980,2,0,318000,0,2002,0,8.3,21.4,0,18.6,1.6,0.7,0.9,1.43,1200000,1640000,15.6,GntlyInclnd,1263333,1330000,1200000,"928000
"
816,Berry Yung Avenue,NA,ONE,burwood,3125,20150907,WkDay,MDay,WrkngDy,sold,Hse,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,312,2011,2,0,870000,0,2011,0,8.9,13.6,3.6,18.5,1.6,1.8,2.4,2.55,925000,1230000,0,ModInclnd,1032000,1170000,985000,"950000
"
817,Summit Road,NA,NA,burwood,3125,20150824,WkDay,MDay,WrkngDy,sold,AptHse,3,2,2,57,33,61,Y,N,Y,N,108.5,116.5,377,1990,5,0,370250,0,2002,0,8.5,14.5,0,18.2,2.1,0.3,1.5,2.86,851000,1700000,17.6,NrlyLvl,990333,1130000,891000,"905000
"
818,College Way,NA,TWO,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,69,26,42,Y,N,Y,Y,108.5,116.5,300,1994,2,0,80000,0,1994,0,10.9,13.1,0.2,19.6,2.2,0.4,0.8,2.19,975000,1290000,0,GntlyInclnd,996333,891000,1410000,"940000
"
819,Muyan Circuit,NA,SIX,burwood,3125,20150519,WkDay,TuDay,WrkngDy,sold,Hse,5,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,328,2012,2,0,890000,0,2011,0,9.9,16.2,0,18.6,1.7,1.9,2.5,2.59,975000,1290000,0,ModInclnd,1083667,1170000,975000,"914250
"
821,Leonard Street,NA,NINE,burwood,3125,20150323,WkDay,MDay,WrkngDy,sold,TwnHse,4,2,1,48,41,66,Y,N,Y,Y,108.5,116.5,318,2014,3,1,380000,660,2014,2015,13.6,27,0,18.1,0.9,0.085,1.4,1.14,1030000,1360000,0,NA,1142000,985000,1460000,"950000
"
823,Webb Street,NA,FIVE,burwood,3125,20150224,WkDay,TuDay,WrkngDy,sold,TwnHse,3,2,2,55,39,43,Y,N,Y,Y,108.5,116.5,238,2015,0,0,0,0,0,0,15.9,20.1,3.2,17.2,1.5,1.1,1.9,1.21,0,0,16.0,NrlyLvl,0,0,0,"950000
"
826,Keogh Street,NA,SEVEN,burwood,3125,20141122,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,55,39,43,N,N,N,N,108.5,116.5,773,1960,5,0,1265000,0,2015,0,12.9,31,0,17.1,2.5,0.6,1.9,0.97,1300000,1740000,16.0,NrlyLvl,1426667,1240000,1730000,"911000
"
827,Somers Street,NA,SIX,burwood,3125,20141108,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,66,17,46,N,N,N,N,108.5,116.5,620,1980,4,0,321000,0,1999,0,18,34.9,0,16.5,0.7,0.6,0.9,2.49,1240000,1660000,16.3,GntlyInclnd,1256667,1680000,1600000,"930000
"
828,Puerta Street,NA,THREE,burwood,3125,20141030,WkDay,ThDay,WrkngDy,sold,Hse,3,2,2,42,43,65,Y,N,N,N,108.5,116.5,588,2015,1,0,0,0,0,0,13.4,21.3,0,17,0.7,0.4,1.6,2.2,1240000,1660000,0,NA,1412500,1710000,725000,"900000
"
829,Harrison Avenue,NA,NA,burwood,3125,20141011,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,72,14,37,N,N,Y,N,108.5,116.5,794,1980,1,0,0,0,0,0,13.7,20,0,17.4,0.8,0.4,0.9,1.46,1180000,1580000,17.5,GntlyInclnd,1426667,1450000,749900,"910000
"
830,Bentham Court,NA,FIVE,burwood,3125,20140531,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,52,19,38,Y,N,Y,Y,108.5,116.5,395,2014,2,0,625000,0,2006,0,7.5,18.9,0,18.5,3.1,0.6,2.2,0.79,1240000,1660000,28.1,NrlyLvl,1400033,1420000,1340000,"949000
"
831,Bentham court,NA,TWO,burwood,3125,20140430,WkDay,WDay,WrkngDy,sold,Hse,4,2,2,52,19,38,Y,N,Y,Y,108.5,116.5,368,2007,2,3,620000,695,2007,2010,10.4,16.3,12.8,18.5,3,0.6,2.2,0.81,1180000,1580000,26.8,NrlyLvl,1400033,1420000,1420000,"923500
"
833,Somers Street,NA,NA,burwood,3125,20140315,WkEnd,SDay,WrkngDy,sold,Hse,3,2,1,66,17,46,Y,N,Y,N,108.5,116.5,617,1984,4,0,260000,0,1999,0,16.6,29.5,0,16.5,0.7,0.7,1,2.52,1510000,2010000,16.2,GntlyInclnd,1713333,1170000,1480000,"947000
"
834,Parer Street,NA,ONE,burwood,3125,20140301,WkEnd,SDay,WrkngDy,sold,Hse,3,1,0,43,34,52,N,N,N,N,108.5,116.5,697,1920,2,1,921000,0,2014,2018,14.5,22.3,0,16.2,0.7,1.2,0.8,1.9,975000,1290000,15.2,GntlyInclnd,1562667,1200000,1480000,"921000
"
862,la frank,TWO,TWO,burwood,3125,20150703,WkDay,FDay,WrkngDy,sold,TwnHse,3,2,2,31,62,79,Y,N,Y,N,108.5,116.5,0,0,2,4,840000,600,2014,2016,5.9,12,2.6,18.5,0.4,0.9,0.7,1.56,1080000,1430000,0,NA,0,901000,891000,"922000
"
