Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
12458,Travers Crescent,NA,THREE,burwood-east,3151,20141006,WkDay,MDay,WrkngDy,sold,TwnHse,3,2,1,59,21,48,N,N,Y,N,45.5,72.5,0,0,3,0,685000,0,2010,0,9.1,25.4,0,27.2,1.3,0.9,1.7,0.77,800000,1060000,0,NA,0,1050000,1100000,755800
12459,Bellevue Avenue,TWO,TWO,burwood-east,3151,20140715,WkDay,TuDay,WrkngDy,sold,TwnHse,3,2,2,70,29,53,Y,N,Y,N,45.5,72.5,0,0,1,0,0,0,0,0,6.9,13.2,0,27.2,1.2,1,1.2,0.87,845000,1110000,0,NA,0,916000,961000,750000
12460,Saxon Street,NA,SEVEN,burwood-east,3151,20140628,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,72,20,43,Y,N,Y,N,45.5,72.5,0,0,1,0,0,0,0,0,9.7,13.3,0,26.8,1.5,0.8,1.1,0.41,1080000,1430000,0,NA,0,1750000,1410000,796000
12461,Christa Avenue,NA,FIVE,burwood-east,3151,20140610,WkDay,TuDay,WrkngDy,sold,Hse,3,3,2,0,0,0,Y,N,Y,Y,45.5,72.5,0,0,6,0,270500,0,2000,0,9.1,18.6,0,27.6,1.1,0.5,1.1,1.17,1030000,1360000,0,NA,0,1050000,1300000,770000
12462,Robinson Drive,NA,NA,burwood-east,3151,20140219,WkDay,WDay,WrkngDy,sold,Hse,4,2,1,74,20,42,Y,N,Y,N,45.5,72.5,0,0,3,1,795838,500,2014,2016,17.2,24.6,0,27.9,1.4,0.6,3.1,1.28,880000,1170000,0,NA,0,1120000,1300000,795838
12466,Cohuna Court,NA,NA,burwood-east,3151,20160604,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,71,33,40,Y,N,Y,N,45.5,72.5,0,0,4,0,310000,0,2002,0,9.8,13.4,6.2,26.7,1,0.4,1.5,0.35,880000,1170000,0,NA,0,1100000,1010000,848000
12467,Barry Road,NA,THREE,burwood-east,3151,20141213,WkEnd,SDay,WrkngDy,sold,Hse,6,2,2,59,21,48,N,N,Y,N,45.5,72.5,0,0,2,0,173000,0,1997,0,14.4,30.7,0,27,1.2,0.8,1.5,0.71,1040000,1370000,0,NA,0,1130000,1260000,820000
12468,Barry Road,NA,SEVEN,burwood-east,3151,20140913,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,59,21,48,N,N,Y,Y,45.5,72.5,0,0,2,1,390000,600,2007,2017,5.7,17.2,0,26.9,1.1,0.8,1.4,0.63,975000,1290000,0,NA,0,1150000,1130000,830000
12470,Moona Street,ONE,NINE,burwood-east,3151,20160910,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,1,0,0,0,N,N,Y,N,45.5,72.5,0,0,2,0,165000,0,1998,0,11.5,14.3,9.4,19.3,0.9,0.6,0.8,1.33,765000,1010000,0,NA,0,900890,420000,834000
12471,Balmoral Court,NA,THREE,burwood-east,3151,20151104,WkDay,WDay,WrkngDy,sold,Hse,3,1,2,62,26,43,Y,N,Y,N,45.5,72.5,0,0,2,0,126000,0,1993,0,10.9,27.2,0,27.9,1.3,1.6,1.4,1.21,880000,1170000,0,NA,0,0,0,850000
