Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
16727,NA,0,notting hill,3168,20160604,WkEnd,SDay,WrkngDy,sold,4,2,1,75,26,47,N,N,N,N,71,38,727,1970,1,0,NA,NA,NA,NA,9.8,13.4,6.2,23.5,1,1,2,7.06,925000,1230000,708,17.2,GntlyInclnd,NA,1100000,1210000,875000
16728,NA,8,notting hill,3168,20160514,WkEnd,SDay,WrkngDy,sold,3,1,2,0,28,50,Y,N,Y,Y,71,38,650,1960,3,1,290000,480,2004,2016,14.5,21.7,0,23.8,1.2,0.9,3.3,7.28,925000,1230000,653,17.1,NrlyLvl,NA,1100000,1080000,870000
16729,NA,2,notting hill,3168,20160220,WkEnd,SDay,WrkngDy,sold,3,1,2,62,25,47,Y,N,Y,Y,71,38,730,1980,1,0,NA,NA,NA,NA,15.8,20.8,0,25,1.4,1.5,1.8,6.99,925000,1230000,730,NA,NrlyLvl,NA,1100000,1080000,875000
16730,2,0,clayton,3168,20171209,WkEnd,SDay,WrkngDy,sold,4,2,3,55,36,52,N,N,Y,N,59.5,107.5,NA,1960,2,1,694689,600,2010,2017,12.7,23,0,22.6,1,0.5,3,0.69,NA,NA,NA,NA,NA,870333,468000,640000,885000
16731,2,3,clayton,3168,20171124,WkDay,FDay,WrkngDy,sold,3,2,2,35,57,64,Y,N,Y,N,59.5,107.5,413,1950,1,0,NA,NA,NA,NA,18.6,30.7,1,24,1.1,0.4,2.2,0.39,630000,825000,726,16.8,NrlyLvl,804000,820000,1550000,890000
16732,2,5,clayton,3168,20170909,WkEnd,SDay,WrkngDy,sold,4,2,2,31,69,53,N,N,Y,Y,59.5,107.5,NA,NA,0,0,NA,NA,NA,NA,7.1,14.9,1.2,23.5,0.6,0.4,0.5,1.09,NA,NA,707,17.5,NrlyLvl,NA,NA,NA,851000
16733,1,5,clayton,3168,20170630,WkDay,FDay,WrkngDy,sold,5,3,2,44,54,48,N,N,N,N,59.5,107.5,396,1991,1,0,NA,NA,NA,NA,7.1,12.3,4.4,22.4,0.8,1,1.6,0.26,NA,NA,730,18,NrlyLvl,828667,1100000,1210000,888000
16734,2,6,clayton,3168,20170217,WkDay,FDay,WrkngDy,sold,3,2,2,31,74,73,N,N,Y,Y,59.5,107.5,NA,2005,2,0,502500,NA,2007,NA,13.7,25.5,0,24.4,1.9,1.1,3.5,1.03,800000,1060000,NA,NA,NA,804000,962000,701000,883500
16735,NA,8,clayton,3168,20150612,WkDay,FDay,WrkngDy,sold,4,3,2,58,46,51,N,N,N,N,59.5,107.5,350,2016,2,0,118000,NA,1990,NA,5.2,13.1,0,22.4,2,0.7,2.8,0.5,800000,1060000,699,17.4,NrlyLvl,842000,1100000,1030000,855000
16736,NA,6,clayton,3168,20150328,WkEnd,SDay,WrkngDy,sold,4,1,4,34,66,73,N,N,N,N,59.5,107.5,672,1950,1,1,NA,600,NA,2016,12.7,19.1,0,25.2,8,1.5,3.1,1.64,925000,1230000,672,15.9,NrlyLvl,1249000,1100000,1140000,890000
16737,NA,1,clayton,3168,20140308,WkEnd,SDay,WrkngDy,sold,9,4,2,16,67,74,Y,N,N,N,59.5,107.5,NA,NA,0,0,NA,NA,NA,NA,14.8,27.4,0,22.5,2.9,0.2,1.7,0.96,NA,NA,735,NA,GntlyInclnd,NA,NA,NA,888000
16747,NA,6,notting hill,3168,20160911,WkEnd,SDay,WrkngDy,sold,3,1,1,62,25,47,N,N,Y,N,71,38,787,1980,3,3,565000,400,2013,2017,7.3,17,1.2,25.3,1.7,1.9,2.1,7.48,880000,1170000,787,NA,NrlyLvl,NA,1100000,1080000,890000
16748,NA,4,notting hill,3168,20160903,WkEnd,SDay,WrkngDy,sold,3,1,1,62,25,47,N,N,N,N,71,38,726,1970,4,0,475000,NA,2011,NA,10,15.7,0.2,24.8,1.3,1.3,1.6,7.01,880000,1170000,726,18.4,NrlyLvl,NA,1100000,1080000,876000
16749,NA,6,notting hill,3168,20160719,WkDay,TuDay,WrkngDy,sold,2,1,1,62,25,47,Y,N,Y,Y,71,38,723,1965,4,2,615000,375,2013,2017,12.6,16,0,25.7,3.1,2.1,2.4,1.96,880000,1170000,723,18.2,NrlyLvl,NA,1800000,1250000,870000
16750,NA,8,notting hill,3168,20160528,WkEnd,SDay,WrkngDy,sold,3,1,1,0,28,50,Y,N,Y,Y,71,38,718,1970,2,3,435000,395,2008,2015,5.7,13.2,0.6,23.7,1.1,1.1,2.1,7.18,880000,1170000,718,19.1,NrlyLvl,NA,1100000,1080000,850000
16751,NA,4,notting hill,3168,20160514,WkEnd,SDay,WrkngDy,sold,4,2,2,62,25,47,Y,N,Y,Y,71,38,717,1975,1,0,NA,NA,NA,NA,14.5,21.7,0,25.4,2.9,1.9,2.2,7.5,880000,1170000,718,18.4,NrlyLvl,NA,1100000,1080000,880000
16752,NA,5,notting hill,3168,20160308,WkDay,TuDay,WrkngDy,sold,3,1,1,47,37,42,N,N,N,N,71,38,824,1965,1,1,NA,390,NA,2016,19.9,38.9,0.6,23.7,1.5,1.5,1.9,7.02,845000,1110000,824,18.4,GntlyInclnd,NA,1100000,1080000,890000
16753,NA,6,notting hill,3168,20151128,WkEnd,SDay,WrkngDy,sold,4,2,2,62,25,47,Y,Y,Y,Y,71,38,864,1976,2,0,530000,NA,2009,NA,12,20.1,0,25,1.4,1.5,1.8,6.94,845000,1110000,440,NA,NrlyLvl,NA,1100000,1080000,850000
16754,NA,1,notting hill,3168,20151121,WkEnd,SDay,WrkngDy,sold,4,2,1,47,37,42,Y,N,Y,Y,71,38,780,1965,1,0,NA,NA,NA,NA,12.2,17.5,3.6,23.9,1.7,1.1,2.2,6.83,925000,1230000,780,NA,GntlyInclnd,NA,NA,NA,890000
