Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
203,Roslyn Street,FIVE,FIVE,burwood,3125,20140811,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,2,54,35,47,N,N,Y,Y,108.5,116.5,0,0,5,3,595000,320,2014,2011,5.9,12.2,6,16.7,0.3,0.3,0.9,2.11,600000,790000,0,NA,717333,420000,653000,595000
204,Wridgway Avenue,THREE,SIX,burwood,3125,20140412,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,48,41,66,N,N,Y,Y,108.5,116.5,0,2005,4,1,600000,395,2014,2010,15.1,22.3,0.4,18,1.9,0.5,1.6,1.33,0,0,0,NA,701833,670000,460000,600000
205,Warrigal Road,EIGHT,SEVEN,burwood,3125,20140405,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,64,21,45,N,N,Y,N,108.5,116.5,0,0,2,0,130000,0,1993,0,14.8,24.2,0,17.2,0.7,0.8,0.7,1.26,520000,680000,0,NA,820667,604000,445000,560000
206,Wridgway Avenue,THREE,TWO,burwood,3125,20140322,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,48,41,66,Y,N,Y,N,108.5,116.5,0,2005,1,1,0,375,0,2011,13.4,18.1,1.8,17.9,1.9,0.5,1.6,1.37,600000,790000,0,NA,624333,670000,758000,590000
207,Keogh Street,SEVEN,SIX,burwood,3125,20140307,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,1,55,39,43,N,N,Y,Y,108.5,116.5,0,2004,3,1,420000,440,2007,2010,14.1,22,0,17.1,1.2,0.6,1.9,0.95,415000,870000,0,NA,790667,670000,739000,590000
251,Conservatory Drive,ONE,ONE,burwood,3125,20150912,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,64,21,45,N,N,Y,Y,108.5,116.5,2029,1999,3,2,515000,525,2013,2017,12.2,21.7,0,17.4,0.8,0.5,0.8,1.32,575000,750000,0,NA,0,1250000,882000,582000
252,Talbett Street,NA,FIVE,burwood,3125,20140208,WkEnd,SDay,WrkngDy,sold,Hse,3,1,0,43,44,68,N,N,Y,Y,108.5,116.5,872,1960,3,0,401000,0,2007,0,17.9,40.7,0,17.8,0.6,0.1,1.9,1.24,1120000,1510000,0,NA,928667,1540000,1650000,555000
255,Somers Street,THREE,TWO,burwood,3125,20170420,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,N,N,Y,N,108.5,116.5,81,1965,2,0,165000,0,2000,0,14.6,26.5,0,15.9,0.2,0.09,0.7,2.12,520000,680000,0,NA,0,653000,670000,605000
257,Iris Street,NA,TWO,burwood,3125,20160514,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,65,23,42,Y,N,Y,Y,108.5,116.5,277,1965,3,0,280000,0,2002,0,14.5,21.7,0,16.1,0.076,0.076,0.6,1.16,0,0,0,NA,0,1240000,1130000,633000
259,2/277 Warrigal Road,NA,NA,burwood,3125,20151205,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,65,23,42,Y,N,Y,N,108.5,116.5,740,0,2,0,628000,0,2015,0,15.5,25.3,0,15.8,0.6,0.2,0.3,1.07,575000,750000,17.3,GntlyInclnd,0,541500,1050000,628000
261,Farleigh Avenue,TWO,NINE,burwood,3125,20150228,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,57,33,61,Y,N,Y,N,108.5,116.5,338,1958,3,2,497500,385,2009,2013,17.9,32.3,0,18.4,0.2,0.2,2.3,2.94,575000,750000,0,NrlyLvl,0,840000,839000,610000
263,Ian Grove,ONE,ONE,burwood,3125,20171014,WkEnd,SDay,WrkngDy,sold,BlkUnt,2,1,1,53,43,59,Y,N,Y,Y,108.5,116.5,0,1979,2,0,70000,0,1985,0,8.2,16.1,0,19.9,2.7,0.3,1.7,1.03,0,0,0,NA,637667,670000,758000,650000
264,Tea Tree Lane,NA,SIX,burwood,3125,20171010,WkDay,TuDay,WrkngDy,sold,TwnHse,2,1,1,51,49,49,N,N,Y,N,108.5,116.5,52,2013,2,1,351698,400,2011,2015,8,18.8,0.2,17,1,0.072,0.9,0.75,0,0,0,NA,0,720000,830000,618000
265,Peacock Street,TWO,FIVE,burwood,3125,20170408,WkEnd,SDay,WrkngDy,sold,AptFlat,3,1,1,53,43,59,N,N,N,N,108.5,116.5,0,1970,2,0,310000,0,2006,0,18.6,28.1,0,17.7,0.9,0.2,2.2,1.07,545000,715000,0,NA,624333,604000,730000,601000
266,Bronte Avenue,ONE,NINE,burwood,3125,20161105,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,57,33,61,N,N,Y,Y,108.5,116.5,0,1965,0,0,0,0,0,0,10,16.8,0,18.1,0.2,0.2,2,2.83,545000,715000,0,NA,693667,0,0,601000
267,Aylwin Avenue,ONE,TWO,burwood,3125,20161013,WkDay,ThDay,WrkngDy,sold,AptVilla,2,1,1,54,35,47,N,N,Y,N,108.5,116.5,800,1960,4,2,450000,220,2011,2006,6.8,14.6,4.2,16.3,0.7,0.5,0.7,2.26,575000,750000,0,NA,0,541500,1050000,629000
269,Aylwin Avenue,TWO,TWO,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,Y,N,Y,N,108.5,116.5,0,1960,5,2,290000,190,2007,2006,9.8,13.4,6.2,16.3,0.7,0.5,0.7,2.26,575000,750000,0,NA,0,541500,1050000,604000
271,Roslyn Street,FIVE,FIVE,burwood,3125,20160330,WkDay,WDay,WrkngDy,sold,AptTwHse,2,1,2,54,35,47,N,N,Y,Y,108.5,116.5,0,0,5,3,595000,320,2014,2011,15.5,18.7,0,16.7,0.3,0.3,0.9,2.11,600000,790000,0,NA,717333,420000,653000,650000
272,Hansen Close,NA,THREE,burwood,3125,20150523,WkEnd,SDay,WrkngDy,sold,Hse,2,2,1,69,26,42,N,N,Y,Y,108.5,116.5,216,1996,3,0,285000,0,2002,0,10.4,13.3,0,19.4,2.1,0.2,0.7,2.28,845000,1110000,0,GntlyInclnd,0,1200000,780000,635500
273,Roslyn Street,NA,THREE,burwood,3125,20150423,WkDay,ThDay,WrkngDy,sold,Hse,4,2,2,74,5,41,Y,N,Y,N,108.5,116.5,283,2014,1,0,0,0,0,0,12.2,19.2,0,17.2,1,1,1.5,2.68,1080000,1430000,0,GntlyInclnd,0,0,0,633000
274,McComas Grove,TWO,ONE,burwood,3125,20141014,WkDay,TuDay,WrkngDy,sold,AptHse,3,1,0,47,48,71,Y,N,Y,N,108.5,116.5,510,2005,1,2,0,0,0,2011,8.6,15.6,6,17.4,1.2,0.7,2,1.18,690000,910000,0,NrlyLvl,1016333,790000,1230000,650000
275,Rees Street,NA,ONE,burwood,3125,20140527,WkDay,TuDay,WrkngDy,sold,Hse,3,1,1,56,35,52,N,N,N,N,108.5,116.5,591,1950,4,0,630000,0,2014,0,14.8,20.5,0,19.1,1.2,0.069,0.3,1.68,0,0,18.0,GntlyInclnd,1693333,1170000,980000,630000
276,Ireland Street,THREE,TWO,burwood,3125,20140412,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,52,44,58,N,N,Y,N,108.5,116.5,0,1990,2,1,225000,450,1999,2010,15.1,22.3,0.4,16.5,0.2,0.2,1.3,1.71,690000,910000,0,NA,904000,882000,770000,640000
278,McComas Grove,ONE,NA,burwood,3125,20140412,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,41,64,76,N,N,Y,N,108.5,116.5,852,1975,3,0,650000,0,2014,0,15.1,22.3,0.4,17.1,0.9,0.4,2.3,1.47,660000,865000,20.5,NrlyLvl,713167,653000,670000,650000
279,Renown Street,THREE,NA,burwood,3125,20140409,WkDay,WDay,WrkngDy,sold,AptFlat,3,2,2,48,41,66,N,N,Y,N,108.5,116.5,295,1990,3,0,252500,0,2000,0,16.8,17.9,13.4,18,1.8,1.5,1.4,1.41,765000,1010000,0,NrlyLvl,990333,900890,882000,645000
